AnimalID,Group,Sons in our dataset,Offsprings,SEX,Birth Season,DOB,Infant Age,...9
ID_8699,V,NA,I250M4,M,2025,15/07/2024,0.69,NA
ID_4953,V,NA,I251B0,M,2025,24/06/2024,0.75,NA
ID_1258,V,NA,I241G1,F,2024,12/09/2023,1.53,NA
ID_5001,V,NA,I251G4,M,2025,02/10/2024,0.47,NA
ID_9825,V,NA,I252I3,F,2025,24/06/2024,0.75,NA
ID_2251,V,NA,EK4,F,2023,06/09/2022,2.55,NA
ID_6272,V,NA,I242K1,F,2024,16/07/2023,1.69,NA
ID_6433,V,NA,EN9,F,2024,14/06/2023,1.78,NA
ID_6402,V,NA,I253H0,F,2025,07/08/2024,0.63,NA
ID_8325,V,NA,I253D9,M,2025,02/07/2024,0.73,NA
ID_1355,V,NA,I255O0,M,2025,05/06/2024,0.8,NA
ID_1480,V,NA,EH9,M,2023,12/06/2022,2.78,NA
ID_1931,V,NA,I255E8,F,2025,16/09/2024,0.52,NA
ID_3368,V,NA,I247K8,F,2024,05/07/2023,1.72,NA
ID_6636,V,NA,I258R5,M,2025,24/06/2024,0.75,NA
ID_3453,V,NA,I249M8,F,2024,01/09/2023,1.56,NA
ID_9490,V,NA,I259P3,F,2025,24/08/2024,0.58,NA
ID_1726,F,NA,I2529Z,M,2025,07/07/2024,0.71,NA
ID_1625,F,NA,I252A7,M,2025,18/06/2024,0.76,NA
ID_7340,F,NA,I252L8,F,2025,28/06/2024,0.74,NA
ID_3551,F,NA,6Q2,F,2014,17/08/2013,11.6,NA
ID_1944,F,NA,I226C0,M,2022,01/09/2021,3.56,NA
ID_8788,F,NA,I2579Z,F,2025,18/08/2024,0.6,NA
ID_3273,F,NA,I257J8,F,2025,28/06/2024,0.74,NA
ID_6467,F,NA,DT2,M,2023,22/06/2022,2.75,NA
ID_5357,F,NA,I259H7,F,2025,08/06/2024,0.79,NA
ID_2395,R,NA,I250E1,M,2025,30/05/2024,0.82,NA
ID_6122,R,NA,I250E2,F,2025,13/06/2024,0.78,NA
ID_1516,R,NA,9Z7,M,2018,06/07/2017,7.72,NA
ID_1102,R,NA,I254A5,F,2025,28/05/2024,0.82,NA
ID_9224,R,NA,I2569O-2,M,2025,10/09/2024,0.53,NA
ID_3817,R,NA,I246A4,F,2024,30/07/2023,1.65,NA
ID_9976,R,NA,I247A6,F,2024,23/08/2023,1.58,NA
ID_7533,R,NA,I2585V,M,2025,28/07/2024,0.65,NA
ID_6347,R,NA,I258A5,F,2025,09/06/2024,0.79,NA
ID_6347,R,NA,I258A5-2,M,2025,05/07/2024,0.72,*Possible kidnap
